Ethanol yield per line after 72h (kg),"Ethanol yield per line after 144h
(kg)",Ethanol yield per ha after 72h (kg),Ethanol yield per ha after 144h (kg)
0.2701,0.4815,540.2,962.9
0.4447,0.7852,889.4,1570.4
0.2510,0.4423,502.0,884.5
0.1495,0.2580,299.1,516.1
0.4073,0.6937,814.6,1387.4
0.2156,0.3643,431.2,728.6
0.2445,0.4351,489.0,870.2
0.2133,0.3626,426.6,725.2
0.1996,0.3413,399.2,682.5
0.2631,0.4961,526.3,992.1
0.3431,0.5699,686.3,1139.9
0.2459,0.4720,491.8,944.0
0.3718,0.6143,743.7,1228.7
0.4570,0.7087,914.0,1417.3
0.3016,0.4880,603.3,975.9
0.2657,0.4302,531.4,860.4
0.4240,0.6584,848.1,1316.8
0.2905,0.4811,581.1,962.1
0.4151,0.6855,830.2,1371.1
0.4714,0.7904,942.9,1580.7
0.2683,0.4514,536.6,902.9
0.2756,0.4594,551.2,918.7
0.4632,0.7610,926.4,1522.0
0.3291,0.5611,658.2,1122.2
