,avg,std
萼片数,4.95,0.22072142786315221
完全开放花冠大小,3.6225,0.5654530745227047
花瓣数,6.725,0.9054677216067916
最大花瓣质地,2.025,0.3571611716915806
花柱长度,1.2200000000000004,0.29888682361946517
柱头裂位,1.45,0.5970010522689694
雌雄蕊相对高度,2.225,0.8002403485107557
着生状态,1.725,0.6400120191179105
叶长cm,9.655000000000005,1.8138993272039021
叶宽cm,3.665,0.7116430969495153
叶正面颜色,2.775,0.6975230903263788
叶正面隆起性,1.925,0.6155047959570698
叶形,3.75,0.7071067811865476
叶身形态,2.7,0.7232405706795789
叶基形态,1.075,0.2667467828369186
叶缘形态,1.95,0.8458041235325207
