,萼片数,完全开放花冠大小,花瓣数,最大花瓣质地,花柱长度,柱头裂位,雌雄蕊相对高度,叶长cm,叶宽cm,叶正面颜色,叶正面隆起性,叶形,叶身形态,叶基形态,叶缘形态,着生状态
萼片数,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
完全开放花冠大小,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
花瓣数,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True
最大花瓣质地,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True
花柱长度,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False
柱头裂位,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,True
雌雄蕊相对高度,True,True,True,False,True,True,False,True,True,False,False,True,False,True,False,True
叶长cm,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True
叶宽cm,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
叶正面颜色,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True
叶正面隆起性,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True
叶形,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
叶身形态,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True
叶基形态,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,False
叶缘形态,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True
着生状态,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False
