,avg,std
萼片数,5.2,0.5231483637805969
完全开放花冠大小,3.7275000000000005,0.2291144278578535
花瓣数,7.25,1.164157703189193
最大花瓣质地,2.15,0.36634754853252327
花柱长度,1.24,0.16670175069329812
柱头裂位,1.7,0.7326950970650465
雌雄蕊相对高度,2.3,0.47016234598162726
叶长cm,7.985000000000001,0.9996183482235922
叶宽cm,3.1350000000000002,0.4319783132958121
叶正面颜色,2.4,0.9947229183096801
叶正面隆起性,1.8,0.6958523739384593
叶形,3.85,0.5871429486123998
叶身形态,2.25,0.7863975156570492
叶基形态,1.2,0.4103913408340617
叶缘形态,1.95,0.8255779474818965
着生状态,1.15,0.4893604849295929
