,DXC-1,DXC-2,DXC-3,DXC-4,DXC-5,DXC-6,DXC-7,DXC-8,DXC-9,DXC-10,DXC-11,DXC-12,DXC-13,DXC-14,DXC-15,DXC-16,DXC-17,DXC-18,DXC-19,DXC-20,DXC-21,DXC-22,DXC-23,DXC-24,DXC-25,DXC-26,DXC-27,DXC-28,DXC-29,DXC-30,WXW-1,WXW-2,WXW-3,WXW-4,WXW-5,WXW-6,WXW-7,WXW-8,WXW-9,WXW-10,WXW-11,WXW-12,WXW-13,WXW-14,WXW-15,WXW-16,WXW-17,WXW-18,WXW-19,WXW-20,WXW-21,WXW-22,WXW-23,WXW-24,WXW-25,WXW-26,WXW-27,WXW-28,WXW-29,WXW-30
萼片数,6.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
完全开放花冠大小,3.4,3.7,3.9,3.5999999999999996,4.1,3.4,3.85,4.05,3.25,3.9,3.85,3.6999999999999997,4.05,3.65,3.75,3.65,3.7,3.5,3.65,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花瓣数,6.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,10.0,8.0,6.0,7.0,8.0,7.0,7.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最大花瓣质地,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花柱长度,1.4,1.3,1.3,1.3,1.6,1.1,1.3,1.4,1.3,1.4,1.2,1.2,1.3,1.0,1.0,1.0,1.2,1.1,1.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柱头裂位,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雌雄蕊相对高度,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叶长cm,8.6,6.2,8.6,8.6,9.0,8.6,6.6,6.6,7.5,7.7,9.6,8.5,6.8,8.5,9.2,7.6,6.9,8.2,9.1,7.3,6.5,7.7,9.2,8.0,6.8,8.3,6.4,7.8,6.9,7.5,9.2,9.3,9.0,8.6,9.3,10.5,11.8,9.5,10.0,9.5,8.3,9.0,8.6,8.6,8.6,8.0,10.0,8.1,8.1,8.3,8.3,9.7,7.2,8.4,8.8,10.5,8.7,8.2,8.8,11.2
叶宽cm,2.9,3.1,3.6,3.2,3.1,3.2,2.6,2.4,2.4,2.7,3.8,3.7,3.3,3.3,3.5,3.1,2.6,3.0,3.5,3.7,2.7,3.7,3.0,3.1,2.4,3.0,2.7,2.9,2.8,2.9,3.5,4.2,3.8,2.6,3.3,4.7,4.2,4.0,3.9,3.6,3.8,3.6,2.6,2.8,3.1,3.4,3.6,3.2,3.4,3.3,2.7,3.5,2.5,3.2,3.2,3.8,4.0,3.3,3.7,4.3
叶正面颜色,2,4,3,3,3,2,3,2,3,3,1,1,1,1,3,3,4,1,3,2,3,3,3,3,4,3,3,4,1,3,4,3,4,4,3,4,3,4,3,4,4,1,3,2,4,2,4,4,1,4,2,4,1,3,4,3,3,3,2,2
叶正面隆起性,1,2,1,2,2,3,2,1,1,2,2,3,2,1,3,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,3,1,3,2,3,3,3,1,3,1,1,3,2,2,2,2,2
叶形,5,3,3,4,4,4,3,4,5,4,4,4,3,4,4,4,4,4,4,3,4,4,5,4,5,5,4,4,4,4,3,3,3,5,4,3,5,3,3,4,3,4,5,5,4,4,4,4,4,4,5,4,5,4,3,4,3,3,3,3
叶身形态,3,3,1,2,2,3,3,1,2,3,1,3,3,1,3,2,2,2,2,3,2,3,2,1,2,2,2,2,2,1,2,3,3,3,1,3,3,3,3,3,3,1,3,3,1,1,1,3,3,3,1,3,3,3,3,2,3,1,3,3
叶基形态,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1
叶缘形态,2,1,2,3,3,3,2,1,1,3,1,2,2,2,3,1,2,1,1,3,1,1,1,2,3,1,2,2,3,3,1,2,3,2,3,1,1,2,2,2,2,3,3,3,3,2,1,3,3,3,3,3,1,2,2,3,2,3,1,1
着生状态,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1
