,QT1-1,QT1-2,QT1-3,QT1-4,QT1-5,QT1-6,QT1-7,QT1-8,QT1-9,QT1-10,QT1-11,QT1-12,QT1-13,QT1-14,QT1-15,QT1-16,QT1-17,QT1-18,QT1-19,QT1-20,QT1-21,QT1-22,QT1-23,QT1-24,QT1-25,QT1-26,QT1-27,QT1-28,QT1-29,QT1-30,QT2-1,QT2-2,QT2-3,QT2-4,QT2-5,QT2-6,QT2-7,QT2-8,QT2-9,QT2-10,QT2-11,QT2-12,QT2-13,QT2-14,QT2-15,QT2-16,QT2-17,QT2-18,QT2-19,QT2-20,QT2-21,QT2-22,QT2-23,QT2-24,QT2-25,QT2-26,QT2-27,QT2-28,QT2-29,QT2-30,QT3-1,QT3-2,QT3-3,QT3-4,QT3-5,QT3-6,QT3-7,QT3-8,QT3-9,QT3-10,QT3-11,QT3-12,QT3-13,QT3-14,QT3-15,QT3-16,QT3-17,QT3-18,QT3-19,QT3-20,QT3-21,QT3-22,QT3-23,QT3-24,QT3-25,QT3-26,QT3-27,QT3-28,QT3-29,QT3-30
萼片数,5,5,5,5,5,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,6,6,5,5,4,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,
萼片颜色,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,,,,,,,,,,,,,,,,,,,,,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,,,,,,,,,,,,,,,,,,,,,绿,绿,绿,绿,绿,紫红,绿,绿,绿,绿,,,,,,,,,,,,,,,,,,,,
萼片茸毛,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,
完全开放花冠大小1,3.3,3.3,3.4,3.1,3.5,4,3.4,3.2,3.2,3.3,,,,,,,,,,,,,,,,,,,,,3.5,3.8,3.8,3.3,3.8,3.2,3.7,3.7,3.1,3.5,,,,,,,,,,,,,,,,,,,,,3.3,3.2,3.6,3.1,4.5,4.1,3.5,3.6,3,3.4,,0.336718444,,,,,,,,,,,,,,,,,,
完全开放花冠大小2,3.1,2.7,2.9,2.7,3.1,3.9,2.7,2.7,2.9,2.8,,,,,,,,,,,,,,,,,,,,,3,3,3.5,2.9,3,2.9,3.5,3.3,2.7,3.3,,,,,,,,,,,,,,,,,,,,,3.2,3.1,3.2,3,3.8,3.5,3.3,3.2,3,2.8,,,,,,,,,,,,,,,,,,,,
花瓣数,7,6,7,6,7,6,8,7,7,7,,,,,,,,,,,,,,,,,,,,,7,6,8,6,6,8,8,7,7,8,,,,,,,,,,,,,,,,,,,,,8,6,7,7,8,9,6,6,6,6,,,,,,,,,,,,,,,,,,,,
花瓣颜色,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,,,,,,,,,,,,,,,,,,,,,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,,,,,,,,,,,,,,,,,,,,,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,,,,,,,,,,,,,,,,,,,,
花瓣茸毛,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,
最大花瓣质地,中,中,中,中,中,厚,中,中,中,中,,,,,,,,,,,,,,,,,,,,,中,中,中,中,中,中,中,中,中,中,,,,,,,,,,,,,,,,,,,,,中,中,中,中,中,中,中,中,中,中,,,,,,,,,,,,,,,,,,,,
子房茸毛,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,
