,DXC-1,DXC-2,DXC-3,DXC-4,DXC-5,DXC-6,DXC-7,DXC-8,DXC-9,DXC-10,DXC-11,DXC-12,DXC-13,DXC-14,DXC-15,DXC-16,DXC-17,DXC-18,DXC-19,DXC-20,DXC-21,DXC-22,DXC-23,DXC-24,DXC-25,DXC-26,DXC-27,DXC-28,DXC-29,DXC-30,WXW-1,WXW-2,WXW-3,WXW-4,WXW-5,WXW-6,WXW-7,WXW-8,WXW-9,WXW-10,WXW-11,WXW-12,WXW-13,WXW-14,WXW-15,WXW-16,WXW-17,WXW-18,WXW-19,WXW-20,WXW-21,WXW-22,WXW-23,WXW-24,WXW-25,WXW-26,WXW-27,WXW-28,WXW-29,WXW-30
萼片数,6,5,5,5,7,5,5,5,6,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,
萼片颜色,绿,绿,紫红,绿,紫红,绿,绿,绿,绿,绿,,,,,,,,,,,,,,,,,,,,,紫红,紫红,绿,绿,绿,绿,绿,绿,绿,绿,,,,,,,,,,,,,,,,,,,,
萼片茸毛,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,
完全开放花冠大小1,3.8,3.9,4.3,3.8,4.2,3.5,4,4.5,3.5,4,,,,,,,,,,,,,,,,,,,,,4.2,4.1,4.5,3.8,4,3.8,3.8,3.6,4.1,4,,,,,,,,,,,,,,,,,,,,
完全开放花冠大小2,3,3.5,3.5,3.4,4,3.3,3.7,3.6,3,3.8,,,,,,,,,,,,,,,,,,,,,3.5,3.3,3.6,3.5,3.5,3.5,3.6,3.4,3.2,3.8,,,,,,,,,,,,,,,,,,,,
花瓣数,6,7,7,7,5,7,7,6,7,7,,,,,,,,,,,,,,,,,,,,,10,8,6,7,8,7,7,9,8,9,,,,,,,,,,,,,,,,,,,,
花瓣颜色,白,白,白,白,白,白,白,白,白,白,,,,,,,,,,,,,,,,,,,,,白,白,白,白,白,白,白,白,白,白,,,,,,,,,,,,,,,,,,,,
花瓣茸毛,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,
最大花瓣质地,中,中,中,中,厚,厚,中,中,中,厚,,,,,,,,,,,,,,,,,,,,,中,中,中,中,中,中,中,中,中,中,,,,,,,,,,,,,,,,,,,,
子房茸毛,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,
